epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3502,1.45423,1.92062,1.37543,0.51217,0.2272,0.22146,0.14108,2.06839,3.2603,1.87692,0.000367141,0.000367141,0.000367141
2,73.7282,1.41869,1.47395,1.34194,0.61139,0.16645,0.15782,0.09616,1.77891,3.83803,1.65572,0.00073504,0.00073504,0.00073504
3,110.035,1.46936,1.39864,1.33252,0.55205,0.25532,0.16895,0.09441,1.6826,4.95543,1.38828,0.0011005,0.0011005,0.0011005
4,144.864,1.41937,1.41565,1.35403,0.42475,0.22322,0.1398,0.09008,1.54752,3.12065,1.31415,0.0011,0.0011,0.0011
5,180.404,1.39879,1.29897,1.3247,0.56428,0.26046,0.25169,0.14984,1.59451,2.81931,1.4301,0.00109633,0.00109633,0.00109633
6,216.424,1.39829,1.21993,1.31959,0.74402,0.32547,0.34539,0.2041,1.55513,2.49362,1.28451,0.00109267,0.00109267,0.00109267
7,252.31,1.3925,1.23193,1.32484,0.5826,0.30379,0.30751,0.16719,1.40761,2.73143,1.27198,0.001089,0.001089,0.001089
8,287.125,1.36843,1.16319,1.29644,0.69866,0.35425,0.3545,0.20157,1.50927,2.76483,1.28366,0.00108534,0.00108534,0.00108534
9,322.381,1.35579,1.01968,1.28026,0.61237,0.3308,0.31377,0.19092,1.46063,2.48555,1.30165,0.00108167,0.00108167,0.00108167
10,357.72,1.33724,0.99858,1.28023,0.41529,0.38428,0.36026,0.21367,1.44166,2.46007,1.25663,0.001078,0.001078,0.001078
11,394.251,1.35618,1.16503,1.29741,0.36674,0.43704,0.32398,0.18807,1.51581,3.70138,1.3011,0.00107434,0.00107434,0.00107434
12,429.601,1.34687,1.11686,1.29362,0.3834,0.47049,0.38763,0.22316,1.45412,3.15216,1.26785,0.00107067,0.00107067,0.00107067
13,465.783,1.31399,0.98355,1.27036,0.39091,0.45019,0.40503,0.23881,1.5725,2.51059,1.33119,0.001067,0.001067,0.001067
14,501.722,1.28809,0.95395,1.26654,0.43038,0.49003,0.42672,0.24456,1.51307,2.09911,1.31236,0.00106334,0.00106334,0.00106334
15,537.942,1.30379,0.92405,1.25193,0.53359,0.46895,0.42367,0.24838,1.46887,2.21161,1.29509,0.00105967,0.00105967,0.00105967
16,574.098,1.25549,0.98081,1.26422,0.50769,0.46698,0.43105,0.2689,1.43423,2.26859,1.28086,0.00105601,0.00105601,0.00105601
17,610.468,1.28335,0.91197,1.23471,0.60923,0.41773,0.42139,0.25066,1.41479,2.30724,1.2712,0.00105234,0.00105234,0.00105234
