epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4017,1.44718,2.64016,1.34862,0.00562,0.16203,0.03546,0.01498,1.43911,4.21019,1.18153,0.000363948,0.000363948,0.000363948
2,25.2124,1.37355,1.50311,1.2762,0.43991,0.09434,0.05947,0.02671,1.52381,4.06937,1.203,0.000727012,0.000727012,0.000727012
3,35.9649,1.42537,1.3515,1.26427,0.01621,0.46788,0.0172,0.00782,1.62095,3.56551,1.23827,0.00108274,0.00108274,0.00108274
4,46.2993,1.38264,1.32491,1.26602,0.21398,0.0732,0.07741,0.03669,1.73764,3.17789,1.25653,0.001078,0.001078,0.001078
5,56.5795,1.34263,1.23047,1.24564,0.12972,0.29964,0.11486,0.05614,1.63093,3.26845,1.18405,0.001067,0.001067,0.001067
6,67.1681,1.33409,1.1945,1.24143,0.12591,0.1326,0.09458,0.04599,1.84787,2.89979,1.25839,0.00105601,0.00105601,0.00105601
7,77.3573,1.35822,1.13413,1.25265,0.13741,0.13346,0.07664,0.03184,1.82731,3.29353,1.32327,0.00104501,0.00104501,0.00104501
8,87.8836,1.36397,1.08193,1.24362,0.18829,0.20283,0.11227,0.0501,1.74981,2.90061,1.26547,0.00103401,0.00103401,0.00103401
9,98.1905,1.31793,1.06881,1.22954,0.20458,0.33906,0.13414,0.05502,1.7556,3.85819,1.25889,0.00102301,0.00102301,0.00102301
10,108.701,1.3209,1.07372,1.2246,0.23678,0.36926,0.17418,0.08755,1.69612,3.23024,1.22808,0.00101201,0.00101201,0.00101201
11,119.212,1.33452,0.99742,1.21648,0.2768,0.16119,0.13419,0.06303,1.99508,5.9629,1.39321,0.00100101,0.00100101,0.00100101
12,129.928,1.32566,0.97915,1.2244,0.22128,0.27081,0.18761,0.09196,1.76422,3.63121,1.2348,0.000990012,0.000990012,0.000990012
13,140.886,1.30074,0.93525,1.1931,0.66412,0.27552,0.16483,0.07247,1.7063,5.84546,1.28132,0.000979013,0.000979013,0.000979013
14,151.536,1.25527,0.90203,1.20173,0.32147,0.23333,0.25668,0.13016,1.73631,2.59257,1.22182,0.000968014,0.000968014,0.000968014
15,162.468,1.31206,0.88827,1.20615,0.16027,0.3306,0.2043,0.09372,1.80991,4.1921,1.26025,0.000957015,0.000957015,0.000957015
16,173.031,1.29394,0.87718,1.21664,0.34582,0.2396,0.25015,0.12854,1.85394,3.85157,1.26292,0.000946016,0.000946016,0.000946016
17,183.832,1.26896,0.855,1.18881,0.22496,0.39133,0.28926,0.1343,1.79554,6.2589,1.23392,0.000935018,0.000935018,0.000935018
18,194.215,1.26632,0.86603,1.20208,0.38669,0.424,0.31963,0.14571,1.78313,3.24129,1.23441,0.000924019,0.000924019,0.000924019
19,204.752,1.2531,0.82656,1.17896,0.69904,0.20156,0.20115,0.09413,1.81005,3.61677,1.28873,0.00091302,0.00091302,0.00091302
20,215.476,1.28293,0.82997,1.19192,0.22044,0.42671,0.24671,0.1159,1.84585,3.41993,1.24942,0.000902021,0.000902021,0.000902021
21,226.798,1.2435,0.79087,1.18623,0.21995,0.3512,0.23161,0.10616,1.92477,3.31357,1.3163,0.000891022,0.000891022,0.000891022
22,237.748,1.23852,0.80869,1.19855,0.32919,0.3915,0.26138,0.13227,1.84406,3.16135,1.28447,0.000880023,0.000880023,0.000880023
23,248.391,1.22712,0.86634,1.18609,0.16324,0.4613,0.23052,0.10356,1.8552,4.47319,1.26759,0.000869024,0.000869024,0.000869024
24,259.004,1.21083,0.78995,1.16463,0.73246,0.20959,0.24103,0.11974,1.69183,3.19272,1.21906,0.000858025,0.000858025,0.000858025
25,269.38,1.23086,0.77978,1.19016,0.3186,0.54761,0.32125,0.14707,2.05061,3.94653,1.36336,0.000847026,0.000847026,0.000847026
26,279.898,1.22663,0.76449,1.16399,0.24408,0.3002,0.26087,0.10956,1.93405,2.51144,1.33435,0.000836027,0.000836027,0.000836027
27,290.255,1.21067,0.76963,1.16354,0.27881,0.42419,0.28185,0.1391,1.88373,3.49292,1.28802,0.000825029,0.000825029,0.000825029
28,300.794,1.23556,0.74166,1.17784,0.2196,0.58258,0.2684,0.12362,1.94588,3.15867,1.31584,0.00081403,0.00081403,0.00081403
29,311.531,1.20202,0.72795,1.15538,0.22852,0.49028,0.26799,0.12141,1.93191,3.11995,1.34255,0.000803031,0.000803031,0.000803031
30,322.579,1.19961,0.71631,1.16441,0.22147,0.40206,0.27137,0.11583,1.87468,3.53282,1.3134,0.000792032,0.000792032,0.000792032
31,334.999,1.1691,0.72215,1.15819,0.28046,0.47349,0.28588,0.13613,1.79122,3.36631,1.25806,0.000781033,0.000781033,0.000781033
